State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
Massachusetts  suffolk  2007  2  12415.6  5425.6   Urban
New Jersey  cumberland  1992  1  299.3  108.0   Rural
Texas  johnson  2004  1  208.3  78.3   Rural
Virginia  washington  1995  1  90.8  40.8   Rural
Massachusetts  middlesex  2001  9  1837.9  748.3   Urban
Utah  salt lake  1998  2  1218.4  421.7   Rural
Michigan  iosco  2000  1  49.8  37.2   Rural
Missouri  perry  2007  1  40.0  18.1   Rural
Ohio  delaware  2005  4  393.2  149.8   Rural
North Carolina  mecklenburg  2000  5  1321.5  556.3   Urban
Oklahoma  cleveland  2002  3  474.7  194.6   Rural
Pennsylvania  monroe  2005  1  279.2  132.1   Rural
Kansas  osage  1999  1  23.8  10.0   Rural
New Hampshire  hillsborough  1995  1  434.6  171.1   Rural
South Carolina  sumter  2002  1  161.6  69.2   Rural
Minnesota  sherburne  1997  1  147.6  52.3   Rural
Massachusetts  norfolk  2000  8  1627.5  638.6   Urban
Texas  gillespie  1996  1  19.6  9.3   Rural
Indiana  decatur  2006  1  69.1  30.1   Rural
New Mexico  mckinley  2003  2  13.1  4.7   Rural
Georgia  hall  1999  2  353.8  129.7   Rural
Illinois  mason  2001  1  27.2  13.1   Rural
Pennsylvania  bucks  2004  10  1034.7  407.0   Rural
Maine  york  1992  1  188.5  95.1   Rural
Washington  kitsap  2010  34  635.9  271.9   Rural
Iowa  audubon  2010  1  13.8  6.7   Rural
Indiana  clark  2007  2  295.6  128.1   Rural
Illinois  whiteside  2009  1  85.5  37.7   Rural
North Carolina  durham  2002  1  935.7  420.4   Rural
Oklahoma  wagoner  2004  1  130.1  52.9   Rural
Washington  snohomish  2001  30  341.8  137.3   Rural
Wisconsin  douglas  1998  1  33.1  15.5   Rural
Mississippi  lamar  1999  3  78.6  31.0   Rural
Arizona  yavapai  1999  5  20.6  10.1   Rural
Wyoming  laramie  1997  1  30.4  12.7   Rural
Pennsylvania  wayne  2005  1  72.8  43.6   Rural
Georgia  liberty  1995  1  118.7  42.3   Rural
Rhode Island  kent  2006  1  985.9  437.3   Rural
Texas  colorado  1998  1  21.2  9.8   Rural
Washington  lewis  2010  2  31.4  14.2   Rural
Illinois  lawrence  2003  1  45.2  18.6   Rural
Washington  skagit  2001  1  67.5  29.7   Rural
North Carolina  chatham  2008  3  93.1  42.1   Rural
Pennsylvania  union  2010  1  142.2  53.8   Rural
Missouri  clinton  1995  1  45.3  18.8   Rural
Minnesota  cook  2002  1  3.6  4.0   Rural
California  orange  1996  5  3605.6  1228.1   Urban
Nevada  humboldt  2007  1  1.7  0.7   Rural
Kentucky  monroe  2007  1  33.3  15.8   Rural
Washington  thurston  1999  6  285.2  119.2   Rural
North Carolina  yancey  2009  1  57.0  35.3   Rural
Colorado  delta  2007  2  27.1  12.8   Rural
Wisconsin  milwaukee  2008  4  3926.0  1731.8   Urban
Iowa  pottawattamie  2010  1  98.0  41.4   Rural
Georgia  bibb  1996  1  615.6  268.8   Rural
Ohio  greene  2001  3  390.5  164.9   Rural
Nevada  clark  1992  1  173.9  70.8   Rural
Virginia  prince william  2003  1  1195.0  407.6   Rural
Pennsylvania  chester  2002  2  664.7  256.4   Rural
Texas  gregg  2006  2  445.4  181.2   Rural
South Carolina  pickens  2004  1  240.2  103.2   Rural
Florida  duval  2010  3  1133.9  509.7   Urban
Tennessee  madison  2008  5  176.4  75.2   Rural
Ohio  guernsey  2008  1  76.8  36.8   Rural
Texas  grayson  2004  5  129.6  57.6   Rural
South Carolina  horry  2005  10  237.5  164.0   Rural
Washington  chelan  2006  3  24.8  12.1   Rural
Iowa  jefferson  2000  1  37.2  16.6   Rural
Ohio  scioto  1996  1  129.3  55.6   Rural
Arizona  yuma  2000  4  29.0  13.4   Rural
Illinois  macoupin  1998  1  56.8  24.4   Rural
Texas  zavala  1999  1  8.9  3.1   Rural
Minnesota  freeborn  2001  2  44.2  20.1   Rural
Indiana  madison  1999  1  295.0  125.9   Rural
Georgia  jones  2003  1  72.8  29.7   Rural
Kentucky  marshall  2007  1  104.4  52.3   Rural
Minnesota  mower  1997  1  54.3  22.8   Rural
New York  tioga  1999  1  99.8  41.3   Rural
Michigan  calhoun  2003  1  192.8  86.4   Rural
Nevada  mineral  2000  1  1.3  0.8   Rural
Illinois  dekalb  2003  1  166.6  65.1   Rural
Maine  kennebec  1997  1  135.0  65.0   Rural
California  el dorado  2009  1  106.0  51.6   Rural
Michigan  monroe  2000  1  264.8  102.5   Rural
New York  oneida  2005  4  193.7  85.9   Rural
Pennsylvania  luzerne  2001  2  360.4  167.1   Rural
Maine  piscataquis  2008  1  4.4  3.9   Rural
Arkansas  lonoke  2010  1  88.7  35.3   Rural
Nebraska  keith  2004  1  7.9  5.1   Rural
Virginia  arlington  2000  1  7323.3  3495.4   Urban
New Mexico  socorro  1996  1  2.7  1.2   Rural
California  santa barbara  1996  3  145.9  52.2   Rural
California  san diego  1994  4  670.0  247.7   Rural
Missouri  iron  2003  1  19.3  9.7   Rural
Ohio  cuyahoga  1991  1  3040.4  1345.5   Urban
