Year Count
2008  5085
2009  4737
2004  4664
2007  4522
2005  4410
2003  4342
2006  4042
2002  3609
2001  3461
1999  3100
2000  3048
2010  2736
1998  1957
1995  1392
1997  1337
1996  936
1994  422
1978  337
1993  326
1975  305
1976  272
1974  266
1977  260
1992  258
1990  253
1989  248
1979  245
1980  236
1991  233
1988  224
1973  220
1987  219
1968  209
1985  205
1986  195
1967  194
1982  191
1984  188
1966  186
1965  177
1972  172
1981  156
1969  153
1983  150
1970  142
1971  122
1964  83
1963  79
1957  74
1960  67
1962  59
1954  52
1952  52
1959  51
1958  45
1961  44
1956  42
1947  39
1955  38
1953  35
1950  28
1951  22
1949  16
1945  12
1944  12
1946  11
1948  10
1943  8
1942  5
1936  3
1910  3
1941  3
1930  2
1937  2
1920  2
1939  2
1931  2
1860  1
1929  1
1906  1
1935  1
1865  1
1916  1
1922  1
1933  1
1897  1
1925  1
1896  1
1899  1
1762  1
1880  1
1914  1
1400  1
1790  1
1934  1
1901  1
1864  1
1871  1
1905  1
