year,Title,Director,Cast,Country,Subgenre/Notes,
1920,Algol,Hans Werckmeister,Emil Jannings,,,
1920,Dr. Jekyll and Mr. Hyde,J. Charles Haydon,Sheldon Lewis,,,
1920,Dr. Jekyll and Mr. Hyde,John S. Robertson,John Barrymore,,,
1920,Figures of the Night,Richard Oswald,Paul Wegener,,,
1920,The Invisible Ray,Harry A. Pollard,Ruth Clifford,,Serial film,
1921,Die Blitzzentrale,Valy Arnheim,Valy Arnheim ,,
1921,The Mechanical Man,Andre Deed,Gabriel Moreau,,
1922,The Man from Beyond,Burton L. King,Harry Houdini,,[1],
1923,Black Oxen,Frank Lloyd,Corinne Griffith,,,
1924,Aelita,Yakov Protazanov,Yuliya Solntseva,,,
1924,The Hands of Orlac,Robert Wiene,Conrad Veidt,,,
1924,L'Inhumaine,Marcel L'Herbier,Georgette Leblanc,,,
1924,The Last Man on Earth,John G. Blystone,Buck Black,,,
1925,The Lost World,Harry Hoyt,Bessie Love,,,
1925,Luch Smerti,Lev Kuleshov,Porfiri Podobed,,[2],
1925,Paris Qui Dort,René Clair,Madeleine Rodrigue,,Sci-Fi Comedy,
1925,The Power God,Francis Ford,Ben F. Wilson,,Serial film,
1925,Wunder Der Schöpfung,Hanns Walter Kornblum,Paul Bildt,,[6],
1927,Metropolis,Fritz Lang,Alfred Abel,,,
1928,Alraune,Henrik Galeen,Brigitte Helm,,,
1929,High Treason,Maurice Elvey,Benita Hume,,[7],
1929,The Mysterious Island,Lucien Hubbard,Lionel Barrymore,,,
1929,Woman in the Moon,Fritz Lang,Klaus Pohl,,,
year,Title,Director,Release,Primary cast,Production country,Notes,Ref(s),
1930,Voice from the Sky !,Wilson Ben F.,000000001930-01-01-0000,Wally Wales,United States,Film serial with 10 chapters,[4],
1930,Alraune,Oswald Richard,000000001930-03-02-0000,Brigitte Helm,Germany,,[6],
1930,Just Imagine,Butler David,000000001930-11-21-0000,El Brendel,United States,,[8],
1931,End of the World,Gance Abel,000000001931-01-23-0000,Colette Darfeuil,France,,[11],
1931,Frankenstein,Whale James,000000001931-11-21-0000,Colin Clive,United States,,[13],
1931,Dr. Jekyll and Mr. Hyde,Mamoulian Rouben,000000001931-12-31-0000,Fredric March,United States,,[14],
1932,Atlantide !,Pabst G. W.,000000001932-06-08-0000,Brigitte Helm,Germany France,,[16],
1932,Chandu the Magician !,Varnel Marcel,000000001932-09-18-0000,Edmund Lowe,United States,,[18],
1932,Six Hours to Live !,Dieterle William,000000001932-10-16-0000,Warner Baxter,United States,,[21],
1932,Island of Lost Souls,Kenton Erle C.,000000001932-12-01-0000,Charles Laughton,United States,,[23],
1932,FP1 !,Hartl Karl,000000001932-12-22-0000,Hans Albers,Germany,,[15],
1933,Men Must Fight,Selwyn Edgar,000000001933-02-17-0000,Diana Wynyard,United States,,[26],
1933,It's Great to Be Alive,Werker Alfred L.,000000001933-06-02-0000,Raúl Roulien,United States,,[28],
1933,Deluge,Feist Felix E.,000000001933-08-18-0000,Peggy Shannon,United States,,[28],
1933,Ein Unsichtbarer geht durch die Stadt,Piel Harry,000000001933-09-29-0000,Harry Piel,Germany,,[32],
1933,Tunnel !,Bernhardt Kurt,000000001933-10-27-0000,Paul Hartmann,France Germany,,[26],
1933,Invisible Man !,Whale James,000000001933-11-13-0000,Claude Rains,United States,,[28],
1934,Welt ohne Maske Die !,Piel Harry,000000001934-03-09-0000,Harry Piel,Germany,,[38],
1934,Gold,Hartl Karl,000000001934-03-29-0000,Hans Albers,Germany,,[32],
1934,Vanishing Shadow !,Landers Lew,000000001934-07-01-0000,Onslow Stevens,United States,Film serial with 12 chapters,[38],
1934,Master of the World,Piel Harry,000000001934-08-11-0000,Walter Janssen,Germany,,[32],
1934,Once in a New Moon,Kimmins Anthony,000000001934-12-01-0000,Derrick de Marney,United Kingdom,,[44],
1935,Lost City !,Revier Harry,000000001935-02-14-0000,William "Stage" Boyd,United States,Film serial with 12 chapters,[47],
1935,Phantom Empire !,Brower Otto,000000001935-02-23-0000,Gene Autry,United States,Film serial with 12 chapters,[51],
1935,Loss of Sensation,Andriyevsky Alexandr,000000001935-04-17-0000,Sergey Vecheslov,Soviet Union,,[55],
1935,Bride of Frankenstein,Whale James,000000001935-04-22-0000,Boris Karloff,United States,,[38],
