Year	Number of sci_fi movies released	Number of ufo sightings	Ratio of number of ufo sightings to number of movies released in that year 	Possibility of ufo_sighting being a dillusion after a sci-fi movie being released?
1948	4	10	2.5	False
1949	4	16	4.0	False
1942	5	5	1.0	True
1943	2	8	4.0	False
1941	5	3	0.6	True
1946	3	11	3.66666666667	False
1947	3	39	13.0	False
1944	3	12	4.0	False
1945	5	12	2.4	False
2010	34	2735	80.4411764706	False
1955	14	38	2.71428571429	False
1954	14	52	3.71428571429	False
1957	31	74	2.38709677419	False
1956	20	42	2.1	False
1951	15	22	1.46666666667	True
1950	7	28	4.0	False
1953	20	35	1.75	True
1952	8	52	6.5	False
1959	28	51	1.82142857143	True
1958	32	45	1.40625	True
1920	5	2	0.4	True
1922	1	1	1.0	True
1925	5	1	0.2	True
1929	3	1	0.333333333333	True
1933	6	1	0.166666666667	True
1931	3	2	0.666666666667	True
1930	3	2	0.666666666667	True
1937	2	2	1.0	True
1936	8	3	0.375	True
1935	6	1	0.166666666667	True
1934	5	1	0.2	True
1939	5	2	0.4	True
1986	32	195	6.09375	False
1987	28	219	7.82142857143	False
1984	33	188	5.69696969697	False
1985	28	205	7.32142857143	False
1982	34	191	5.61764705882	False
1983	35	150	4.28571428571	False
1980	22	236	10.7272727273	False
1981	22	156	7.09090909091	False
1988	27	224	8.2962962963	False
1989	35	248	7.08571428571	False
1991	26	233	8.96153846154	False
1990	33	253	7.66666666667	False
1993	24	326	13.5833333333	False
1992	21	258	12.2857142857	False
1995	32	1391	43.46875	False
1994	21	422	20.0952380952	False
1997	21	1325	63.0952380952	False
1996	21	936	44.5714285714	False
1999	24	3043	126.791666667	False
1998	22	1933	87.8636363636	False
1968	14	209	14.9285714286	False
1969	19	153	8.05263157895	False
1964	13	83	6.38461538462	False
1965	24	177	7.375	False
1966	19	186	9.78947368421	False
1967	16	194	12.125	False
1960	18	67	3.72222222222	False
1961	20	44	2.2	False
1962	15	59	3.93333333333	False
1963	14	79	5.64285714286	False
1979	33	245	7.42424242424	False
1978	19	337	17.7368421053	False
1977	26	260	10.0	False
1976	11	272	24.7272727273	False
1975	23	305	13.2608695652	False
1974	19	266	14.0	False
1973	17	220	12.9411764706	False
1972	19	172	9.05263157895	False
1971	14	122	8.71428571429	False
1970	15	142	9.46666666667	False
2002	36	3599	99.9722222222	False
2003	28	4333	154.75	False
2000	19	2992	157.473684211	False
2001	23	3428	149.043478261	False
2006	34	4035	118.676470588	False
2007	26	4518	173.769230769	False
2004	34	4650	136.764705882	False
2005	30	4393	146.433333333	False
2008	31	5080	163.870967742	False
2009	39	4735	121.41025641	False
