x-coordinate,y-coordinate,Similarity_score
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.2
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteSci-fiFalseisRural,0.13513513513513514
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.2
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.2
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.13513513513513514
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.2
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.2
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.2
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.16666666666666666
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.16666666666666666
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteSci-fiFalseisRural,0.13513513513513514
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteTRUESci-fiFalseisRuralTrue,0.13513513513513514
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.16666666666666666
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.16666666666666666
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.07692307692307693
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralTrue,0.2
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRuralFalse,0.23529411764705882
MeteoriteFALSESci-fiFalseisRuralFalse,MeteoriteFALSESci-fiFalseisRural,0.2
